EPCI 2017;libellé;année;patients ayant consommé au moins un remboursement de soins au régime agricole
200066728;CC Vallées de l'Orne et de l'Odon;2017;1118
200066744;CC Haute-Corrèze Communauté;2017;3996
200066751;CC Xaintrie Val'dordogne;2017;1891
200066769;CC Midi Corrézien;2017;1878
200066777;CC de Ploërmel Communauté;2017;6692
200066785;CC de l'Oust à Brocéliande Communauté;2017;4810
200066793;CA du Grand Annecy;2017;5329
200066801;CC Isigny-Omaha Intercom;2017;4123
200066819;CC du Volvestre;2017;1656
200066827;CC du Pays de Honfleur-Beuzeville;2017;1406
200066835;CC de Sézanne-Sud-Ouest Marnais;2017;3532
200066850;CC des Paysages de la Champagne;2017;7598
200066868;CC Presqu'île de Crozon-Aulne Maritime;2017;1441
200066876;CA de Châlons-en-Champagne;2017;4524
200066884;CC Quercy Vert-Aveyron;2017;2440
200066892;CC de Vendeuvre-Soulaines;2017;1316
200066918;CA Alès;2017;5655
200066926;CA Grand Auch Coeur de Gascogne;2017;3945
200066975;CC Senlis Sud Oise;2017;733
200067023;CC Coutances Mer et Bocage;2017;6274
200067031;CC Côte Ouest Centre Manche;2017;3939
200067049;CC de l'Ouest Corse;2017;687
200067064;CC Decazeville Communauté;2017;1034
200067072;CC Haut-Léon Communauté;2017;6224
200067080;CC Chablis, Villages et Terroirs;2017;3295
200067106;CA du Pays Basque;2017;18205
200067114;CA de l'Auxerrois;2017;4091
200067122;CC Coteaux et Plaines du Pays Lafrançaisain;2017;1843
200067130;CC de Puisaye-Forterre;2017;4236
200067155;CC Saint Affricain, Roquefort, Sept Vallons;2017;1801
200067163;CC Monts, Rance et Rougier;2017;1673
200067171;CC Aubrac et Carladez;2017;3262
200067189;CC Ciate, Bourganeuf - Royère-De-Vassivière;2017;2375
200067197;CC Monts d'Arrée Communauté;2017;1216
200067205;CA du Cotentin;2017;12100
200067213;CU du Grand Reims;2017;21257
200067221;CC Centre Morbihan Communauté;2017;6728
200067239;CC des Luys en Béarn;2017;4270
200067247;CC Pleyben-Châteaulin-Porzay;2017;2954
200067254;CA Pau Béarn Pyrénées;2017;5994
200067262;CC du Pays d'Oloron et des Vallées du Haut-Béarn;2017;2800
200067288;CC du Béarn des Gaves;2017;2867
200067296;CC du Nord Est Béarn;2017;4047
200067304;CC Serein et Armance;2017;1864
200067320;CC Serre-Ponçon Val d'Avance;2017;760
200067346;CA Pornic Agglo Pays de Retz;2017;3355
200067361;CC Grand-Figeac;2017;5046
200067379;CC Côtes de Champagne et Val de Saulx;2017;1457
200067429;CC Haut Nivernais-Val d'Yonne;2017;853
200067437;CA Provence-Alpes;2017;2802
200067445;CC Buëch-Dévoluy;2017;854
200067452;CC du Guillestrois et du Queyras;2017;521
200067460;CC Loudéac Communauté - Bretagne Centre;2017;11209
200067478;CC Comtal Lot et Truyère;2017;3294
200067486;CC Bouzonvillois-Trois Frontières;2017;878
200067502;CC Saint-Avold Centre Mosellan;2017;1056
200067510;CC Pays Dunois, Pays Sostranien, Bénévent - Grand-Bourg;2017;3759
200067544;CC Pays de Boussac, Carrefour des Quatre Provinces, Evaux-Les-Bains - Chambon-sur-Voueize;2017;3188
200067551;CA Thonon;2017;2092
200067593;CC Chénérailles, Auzances - Bellegarde et Haut Pays Marchois;2017;2938
200067627;CC Billom Communauté;2017;1444
200067635;CA Clisson Sèvre et Maine;2017;4098
200067643;CC Meurthe, Mortagne, Moselle;2017;912
200067650;CC Houve-Pays Boulageois;2017;821
200067668;CC de la Cléry, du Betz et de l'Ouanne;2017;1491
200067676;CC Canaux et Forêts en Gâtinais;2017;2329
200067684;CA Épernay, Coteaux et Plaine de Champagne;2017;10934
200067692;CC Tannay-Brinon-Corbigny;2017;1367
200067700;CC Sud Nivernais;2017;1147
200067742;CC Serre-Ponçon;2017;909
200067759;CC Vallées et Plateau d'Ardenne;2017;806
200067767;CC du Royans-Vercors;2017;894
200067783;CC de Hanau-la Petite Pierre;2017;1106
200067791;CA Pays Foix-Varilhes;2017;1767
200067817;CC Saône-Beaujolais;2017;5456
200067825;CA Gap-Tallard-Durance;2017;2780
200067841;CC de l'Alsace Bossue;2017;1322
200067866;CC Sèvre et Loire;2017;4953
200067874;CA de Haguenau;2017;2573
200067882;CC Bazois Loire Morvan;2017;2787
200067890;CC Morvan Sommets et Grands Lacs;2017;1720
